242005001 | 1236 | 24 octobre 2005 | Tomates | 4 | 4.0
252005002 | 1235 | 24 octobre 2005 | kiwi | 6 | 3.5
252005003 | 1234 | 25 octobre 2005 | Tomates | 8 | 3.0
242005004 | 1236 | 25 octobre 2005 | pain  | 4 | 4.0
252005005 | 1235 | 25 octobre 2005 | citron | 6 | 3.5
252005006 | 1234 | 25 octobre 2005 | orange| 8 | 3.0
242005007 | 1236 | 26 octobre 2005 | Tomates | 4 | 4.0
252005008 | 1235 | 26 octobre 2005 | banane | 6 | 3.5
252005009 | 1234 | 26 octobre 2005 | carrot| 8 | 3.0
242005010 | 1236 | 27 octobre 2005 | Tomates | 4 | 4.0
252005011 | 1235 | 27 octobre 2005 | Onions | 6 | 3.5
252005012 | 1234 | 28 octobre 2005 | Pommes | 8 | 3.0
